,ID,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Windspeed (MPH)
0,4474274,Kill Devil Hills,36.0307,-75.676,77.88,76,75,13.8
1,2729907,Longyearbyen,78.2233,15.6469,41.27,70,75,4.61
2,3426466,Grytviken,-54.2811,-36.5092,25.23,76,66,15.5
3,3576022,St John's,17.6333,-61.8333,83.37,74,7,11.03
4,1546102,Port-aux-Français,-49.3492,70.2194,35.24,73,62,32.1
5,7535941,Olonkinbyen,70.9221,-8.7187,34.14,91,100,8.41
6,7304591,West Island,-12.1568,96.8225,78.78,94,75,16.11
7,2313371,Lukolela,-1.0605,17.1821,78.22,63,52,1.83
8,526346,Mirnyy,61.3329,44.536,56.03,91,18,4.32
9,2812071,Weiskirchen,49.55,6.8167,61.63,44,88,8.72
10,3864641,Barrio Almirante Brown,-54.8108,-68.3159,32.25,80,75,4.61
11,3354178,Ongandjera,-17.5,14.9833,62.58,20,0,5.91
12,866062,Iskateley,67.6803,53.1512,40.68,67,100,8.19
13,3423146,Ilulissat,69.2198,-51.0986,46.69,61,75,6.91
14,5983720,Iqaluit,63.747,-68.5173,35.1,93,100,3.44
15,3700888,Soná,8.0122,-81.3216,80.74,86,100,8.43
16,3628473,San Cristobal,7.7669,-72.225,78.98,57,99,6.42
17,3573198,Hamilton city,32.2949,-64.783,78.58,89,100,12.66
18,110250,Afif,23.9065,42.9172,88.48,12,0,7.09
19,876177,Luau,-10.7073,22.2247,62.04,26,7,3.13
20,1527232,Ak-Suu,42.4995,78.527,54.59,62,31,4.0
21,5156170,Grafton,41.2726,-82.0546,73.35,48,0,10.36
22,1494088,Promyshlennyy,67.5836,63.794,38.23,82,94,7.74
23,3426691,Stanley,-51.6938,-57.857,34.09,58,13,24.74
24,2461874,Smara,26.7384,-11.6719,87.28,24,6,17.58
25,1006984,East London,-33.0153,27.9116,58.14,94,0,5.75
26,1015776,Bredasdorp,-34.5322,20.0403,54.36,94,79,5.7
27,479071,Umba,66.6871,34.3429,46.33,88,100,7.87
28,6690696,Matoury,4.8492,-52.3236,89.58,62,40,13.8
29,1490256,Talnakh,69.4865,88.3972,42.21,94,100,2.39
30,5959878,Gaspé,48.8334,-64.4819,64.62,52,100,8.05
31,3366880,Hermanus,-34.4187,19.2345,56.8,88,35,10.38
32,6930057,Saint Helena,-15.9387,-5.7168,66.22,67,26,23.0
33,141736,Bam,29.106,58.357,88.03,20,0,3.27
34,3445026,Vila Velha,-20.3297,-40.292,82.35,57,20,11.5
35,581179,Ardon,43.1772,44.297,74.48,62,98,4.79
36,250303,Isfīr al Maḩaṭṭah,30.1962,35.7341,83.12,32,0,14.16
37,1061335,Mananjary,-21.2303,48.3417,71.26,84,16,5.93
38,3424901,Aasiaat,68.7098,-52.8699,39.15,84,94,6.98
39,1500933,Labytnangi,66.6572,66.4183,46.38,62,91,11.14
40,1507116,Dudinka,69.4058,86.1778,42.62,88,89,8.32
41,2216645,Hūn,29.1268,15.9477,96.33,20,0,11.72
42,731108,Gotse Delchev,41.5667,23.7333,67.32,55,1,2.59
43,2276492,Harper,4.3782,-7.7108,79.2,78,95,9.48
44,3370726,Edinburgh of the Seven Seas,-37.0676,-12.3116,60.03,93,92,24.99
45,53372,Oodweyne,9.4092,45.064,79.38,44,48,17.05
46,3351663,Benguela,-12.5763,13.4055,70.56,88,10,1.68
47,0,,-16.6033,59.6585,78.48,82,71,22.03
48,3663516,Mâncio Lima,-7.6142,-72.8958,87.87,66,75,4.61
49,3685070,Durania,1.2578,-70.2347,80.01,91,93,1.34
50,3415667,Isafjordur,66.0748,-23.135,51.53,76,20,6.91
51,2377457,Nouadhibou,20.9419,-17.0384,73.27,64,65,21.85
52,3369056,Constantia,-34.0314,18.4183,59.45,73,0,11.5
53,5916722,Carbonear,47.7332,-53.2148,62.06,90,98,12.88
54,3604522,Nacaome,13.5361,-87.4875,88.03,88,100,5.5
55,1055433,Tôlanaro,-25.0325,46.9833,66.07,94,20,4.61
56,3413604,Selfoss,63.9331,-20.9971,62.04,57,65,5.37
57,500678,Rudnya,50.799,44.5586,67.57,82,93,3.44
58,479487,Ugol’nyy,67.6387,53.0037,41.09,66,100,8.01
59,3374275,Ribeira Grande,17.1825,-25.065,80.38,75,54,11.32
60,2941485,Burgau,48.4316,10.4099,64.18,65,90,4.34
61,3372880,Matriz,38.5374,-28.6262,71.71,81,40,14.97
62,2425714,Serdégé,21.3549,17.0012,93.33,6,2,12.15
63,562245,Gadzhiyevo,69.2551,33.3362,57.83,65,100,10.85
64,3702431,Puerto Armuelles,8.2778,-82.8621,81.23,72,100,4.0
65,2212775,Sabha,27.0377,14.4283,98.91,13,0,10.29
66,3883457,Lebu,-37.6083,-73.6536,55.35,73,88,3.65
